sample_index,scaled_emg,source_file,dataset
0,588.667,emg_data.hdf5,1
1,591.252,emg_data.hdf5,1
2,591.948,emg_data.hdf5,1
3,583.874,emg_data.hdf5,1
4,571.265,emg_data.hdf5,1
5,565.553,emg_data.hdf5,1
6,568.724,emg_data.hdf5,1
7,576.223,emg_data.hdf5,1
8,578.087,emg_data.hdf5,1
9,580.458,emg_data.hdf5,1
10,585.393,emg_data.hdf5,1
11,593.156,emg_data.hdf5,1
12,597.922,emg_data.hdf5,1
13,598.182,emg_data.hdf5,1
14,601.184,emg_data.hdf5,1
15,605.302,emg_data.hdf5,1
16,605.628,emg_data.hdf5,1
17,600.799,emg_data.hdf5,1
18,594.753,emg_data.hdf5,1
19,588.955,emg_data.hdf5,1
20,586.554,emg_data.hdf5,1
21,587.593,emg_data.hdf5,1
22,588.288,emg_data.hdf5,1
23,589.709,emg_data.hdf5,1
24,591.560,emg_data.hdf5,1
25,591.834,emg_data.hdf5,1
26,590.411,emg_data.hdf5,1
27,593.932,emg_data.hdf5,1
28,595.809,emg_data.hdf5,1
29,596.633,emg_data.hdf5,1
30,595.145,emg_data.hdf5,1
31,593.840,emg_data.hdf5,1
32,592.161,emg_data.hdf5,1
33,589.512,emg_data.hdf5,1
34,591.755,emg_data.hdf5,1
35,588.572,emg_data.hdf5,1
36,593.071,emg_data.hdf5,1
37,607.691,emg_data.hdf5,1
38,617.834,emg_data.hdf5,1
39,614.583,emg_data.hdf5,1
40,594.122,emg_data.hdf5,1
41,567.142,emg_data.hdf5,1
42,548.354,emg_data.hdf5,1
43,550.208,emg_data.hdf5,1
44,565.725,emg_data.hdf5,1
45,582.362,emg_data.hdf5,1
46,593.477,emg_data.hdf5,1
47,596.262,emg_data.hdf5,1
48,591.389,emg_data.hdf5,1
49,580.880,emg_data.hdf5,1
50,574.330,emg_data.hdf5,1
51,576.704,emg_data.hdf5,1
52,584.801,emg_data.hdf5,1
53,590.291,emg_data.hdf5,1
54,591.366,emg_data.hdf5,1
55,587.807,emg_data.hdf5,1
56,580.789,emg_data.hdf5,1
57,574.134,emg_data.hdf5,1
58,569.803,emg_data.hdf5,1
59,569.304,emg_data.hdf5,1
60,572.291,emg_data.hdf5,1
61,584.000,emg_data.hdf5,1
62,597.893,emg_data.hdf5,1
63,605.306,emg_data.hdf5,1
64,603.899,emg_data.hdf5,1
65,604.336,emg_data.hdf5,1
66,603.327,emg_data.hdf5,1
67,602.218,emg_data.hdf5,1
68,607.537,emg_data.hdf5,1
69,615.303,emg_data.hdf5,1
70,619.490,emg_data.hdf5,1
71,616.297,emg_data.hdf5,1
72,610.066,emg_data.hdf5,1
73,606.273,emg_data.hdf5,1
74,602.364,emg_data.hdf5,1
75,601.447,emg_data.hdf5,1
76,601.014,emg_data.hdf5,1
77,596.458,emg_data.hdf5,1
78,589.086,emg_data.hdf5,1
79,579.713,emg_data.hdf5,1
80,567.529,emg_data.hdf5,1
81,570.216,emg_data.hdf5,1
82,583.661,emg_data.hdf5,1
83,592.573,emg_data.hdf5,1
84,589.679,emg_data.hdf5,1
85,582.577,emg_data.hdf5,1
86,575.812,emg_data.hdf5,1
87,577.535,emg_data.hdf5,1
88,587.429,emg_data.hdf5,1
89,588.740,emg_data.hdf5,1
90,583.316,emg_data.hdf5,1
91,576.230,emg_data.hdf5,1
92,570.409,emg_data.hdf5,1
93,565.634,emg_data.hdf5,1
94,566.342,emg_data.hdf5,1
95,575.613,emg_data.hdf5,1
96,587.130,emg_data.hdf5,1
97,598.721,emg_data.hdf5,1
98,606.978,emg_data.hdf5,1
99,620.268,emg_data.hdf5,1
100,629.333,emg_data.hdf5,1
101,630.698,emg_data.hdf5,1
102,636.440,emg_data.hdf5,1
103,643.786,emg_data.hdf5,1
104,642.829,emg_data.hdf5,1
105,631.313,emg_data.hdf5,1
106,615.214,emg_data.hdf5,1
107,593.784,emg_data.hdf5,1
108,580.805,emg_data.hdf5,1
109,578.528,emg_data.hdf5,1
110,578.677,emg_data.hdf5,1
111,577.762,emg_data.hdf5,1
112,574.450,emg_data.hdf5,1
113,575.626,emg_data.hdf5,1
114,576.186,emg_data.hdf5,1
115,578.795,emg_data.hdf5,1
116,574.289,emg_data.hdf5,1
117,572.909,emg_data.hdf5,1
118,573.319,emg_data.hdf5,1
119,575.022,emg_data.hdf5,1
120,577.936,emg_data.hdf5,1
121,577.347,emg_data.hdf5,1
122,579.082,emg_data.hdf5,1
123,580.430,emg_data.hdf5,1
124,584.846,emg_data.hdf5,1
125,588.329,emg_data.hdf5,1
126,589.093,emg_data.hdf5,1
127,592.650,emg_data.hdf5,1
128,594.396,emg_data.hdf5,1
129,593.432,emg_data.hdf5,1
130,592.087,emg_data.hdf5,1
131,593.804,emg_data.hdf5,1
132,589.800,emg_data.hdf5,1
133,583.990,emg_data.hdf5,1
134,576.807,emg_data.hdf5,1
135,574.055,emg_data.hdf5,1
136,570.456,emg_data.hdf5,1
137,562.327,emg_data.hdf5,1
138,557.541,emg_data.hdf5,1
139,559.411,emg_data.hdf5,1
140,562.638,emg_data.hdf5,1
141,562.410,emg_data.hdf5,1
142,560.623,emg_data.hdf5,1
143,561.148,emg_data.hdf5,1
144,566.572,emg_data.hdf5,1
145,570.398,emg_data.hdf5,1
146,579.261,emg_data.hdf5,1
147,595.594,emg_data.hdf5,1
148,616.025,emg_data.hdf5,1
149,629.706,emg_data.hdf5,1
150,623.233,emg_data.hdf5,1
151,600.502,emg_data.hdf5,1
152,574.910,emg_data.hdf5,1
153,565.197,emg_data.hdf5,1
154,571.858,emg_data.hdf5,1
155,578.964,emg_data.hdf5,1
156,584.286,emg_data.hdf5,1
157,587.733,emg_data.hdf5,1
158,590.355,emg_data.hdf5,1
159,589.385,emg_data.hdf5,1
160,588.334,emg_data.hdf5,1
161,588.609,emg_data.hdf5,1
162,591.500,emg_data.hdf5,1
163,595.249,emg_data.hdf5,1
164,602.558,emg_data.hdf5,1
165,609.309,emg_data.hdf5,1
166,610.860,emg_data.hdf5,1
167,606.829,emg_data.hdf5,1
168,597.978,emg_data.hdf5,1
169,591.797,emg_data.hdf5,1
170,588.050,emg_data.hdf5,1
171,585.917,emg_data.hdf5,1
172,586.019,emg_data.hdf5,1
173,584.864,emg_data.hdf5,1
174,581.024,emg_data.hdf5,1
175,575.627,emg_data.hdf5,1
176,575.801,emg_data.hdf5,1
177,579.272,emg_data.hdf5,1
178,584.843,emg_data.hdf5,1
179,588.236,emg_data.hdf5,1
180,587.460,emg_data.hdf5,1
181,586.599,emg_data.hdf5,1
182,586.398,emg_data.hdf5,1
183,592.159,emg_data.hdf5,1
184,597.568,emg_data.hdf5,1
185,601.409,emg_data.hdf5,1
186,607.572,emg_data.hdf5,1
187,616.898,emg_data.hdf5,1
188,622.991,emg_data.hdf5,1
189,623.180,emg_data.hdf5,1
190,624.719,emg_data.hdf5,1
191,626.453,emg_data.hdf5,1
192,619.746,emg_data.hdf5,1
193,603.960,emg_data.hdf5,1
194,589.316,emg_data.hdf5,1
195,575.840,emg_data.hdf5,1
196,570.987,emg_data.hdf5,1
197,572.541,emg_data.hdf5,1
198,579.438,emg_data.hdf5,1
199,585.446,emg_data.hdf5,1
200,583.897,emg_data.hdf5,1
201,572.872,emg_data.hdf5,1
202,564.917,emg_data.hdf5,1
203,576.164,emg_data.hdf5,1
204,599.625,emg_data.hdf5,1
205,611.739,emg_data.hdf5,1
206,611.806,emg_data.hdf5,1
207,604.165,emg_data.hdf5,1
208,595.825,emg_data.hdf5,1
209,590.480,emg_data.hdf5,1
210,598.083,emg_data.hdf5,1
211,612.022,emg_data.hdf5,1
212,624.758,emg_data.hdf5,1
213,631.209,emg_data.hdf5,1
214,625.577,emg_data.hdf5,1
215,607.286,emg_data.hdf5,1
216,586.975,emg_data.hdf5,1
217,562.436,emg_data.hdf5,1
218,542.857,emg_data.hdf5,1
219,541.948,emg_data.hdf5,1
220,554.164,emg_data.hdf5,1
221,566.979,emg_data.hdf5,1
222,573.830,emg_data.hdf5,1
223,578.830,emg_data.hdf5,1
224,581.637,emg_data.hdf5,1
225,584.991,emg_data.hdf5,1
226,587.706,emg_data.hdf5,1
227,588.178,emg_data.hdf5,1
228,592.408,emg_data.hdf5,1
229,598.473,emg_data.hdf5,1
230,601.758,emg_data.hdf5,1
231,602.240,emg_data.hdf5,1
232,598.693,emg_data.hdf5,1
233,595.115,emg_data.hdf5,1
234,593.485,emg_data.hdf5,1
235,591.842,emg_data.hdf5,1
236,585.225,emg_data.hdf5,1
237,581.432,emg_data.hdf5,1
238,579.057,emg_data.hdf5,1
239,577.290,emg_data.hdf5,1
240,573.193,emg_data.hdf5,1
241,572.750,emg_data.hdf5,1
242,576.737,emg_data.hdf5,1
243,582.755,emg_data.hdf5,1
244,587.142,emg_data.hdf5,1
245,588.161,emg_data.hdf5,1
246,592.904,emg_data.hdf5,1
247,598.173,emg_data.hdf5,1
248,597.549,emg_data.hdf5,1
249,593.949,emg_data.hdf5,1
250,592.629,emg_data.hdf5,1
251,586.650,emg_data.hdf5,1
252,586.539,emg_data.hdf5,1
253,586.938,emg_data.hdf5,1
254,590.856,emg_data.hdf5,1
255,602.984,emg_data.hdf5,1
256,618.859,emg_data.hdf5,1
257,632.648,emg_data.hdf5,1
258,635.081,emg_data.hdf5,1
259,623.080,emg_data.hdf5,1
260,610.051,emg_data.hdf5,1
261,603.604,emg_data.hdf5,1
262,599.833,emg_data.hdf5,1
263,589.957,emg_data.hdf5,1
264,581.149,emg_data.hdf5,1
265,576.269,emg_data.hdf5,1
266,577.082,emg_data.hdf5,1
267,574.934,emg_data.hdf5,1
268,560.570,emg_data.hdf5,1
269,538.954,emg_data.hdf5,1
270,523.955,emg_data.hdf5,1
271,527.421,emg_data.hdf5,1
272,539.996,emg_data.hdf5,1
273,549.292,emg_data.hdf5,1
274,559.921,emg_data.hdf5,1
275,572.201,emg_data.hdf5,1
276,583.610,emg_data.hdf5,1
277,590.130,emg_data.hdf5,1
278,587.882,emg_data.hdf5,1
279,586.085,emg_data.hdf5,1
280,591.702,emg_data.hdf5,1
281,598.406,emg_data.hdf5,1
282,601.153,emg_data.hdf5,1
283,598.812,emg_data.hdf5,1
284,597.106,emg_data.hdf5,1
285,598.607,emg_data.hdf5,1
286,602.104,emg_data.hdf5,1
287,605.636,emg_data.hdf5,1
288,604.530,emg_data.hdf5,1
289,603.422,emg_data.hdf5,1
290,605.191,emg_data.hdf5,1
291,614.465,emg_data.hdf5,1
292,616.869,emg_data.hdf5,1
